game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
39,1,24,636,622,10,7,21:forced_or_chosen_switch,,,,1,5,7,7,9,3,3,16,1,4,6,6,20,6,6,16,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
40,1,12,372,586,6,1,7:evolve_active_with_bench_available;9:forced_or_chosen_switch;11:forced_or_chosen_switch,,,,3,7,7,7,,,,7,4,,6,6,,6,6,6,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False
41,0,9,663,369,3,8,,6:forced_or_chosen_switch,,,1,3,3,3,,3,3,3,1,4,4,4,,4,4,4,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True
42,0,15,796,337,6,9,,10:evolve_active_with_bench_available,,,1,3,3,3,7,3,3,11,1,10,10,12,,,,12,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True
43,0,17,614,643,8,8,9:evolve_active_with_bench_available,,,,1,3,9,9,11,11,11,11,1,6,8,8,8,4,4,8,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,True
44,1,12,146,705,4,2,,,drawn_never_played,,3,,,,,,,,4,8,8,8,,4,4,8,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
45,0,13,644,491,6,11,,,,,1,9,9,9,13,9,9,9,1,4,6,6,12,10,10,6,True,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True
46,0,13,557,537,5,9,3:evolve_active_empty_bench,4:evolve_active_empty_bench;11:unknown,,,1,9,3,3,,5,5,3,1,4,4,4,,6,6,4,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True
47,0,5,495,120,2,2,,,,played_then_ko_before_meganium,1,3,3,3,,3,3,3,1,,,,,,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48,1,8,456,572,6,4,,,,,5,5,5,5,7,5,5,5,1,4,4,4,4,4,4,4,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False
